title,author,type,publication_year,genre,isbn,copies_available,description,original stock
To Kill a Mockingbird,Harper Lee,Hardcover,1960,Classic Fiction,9780061120084,4,"A profound and moving story about racial injustice in the Deep South, told through the eyes of young Scout Finch.",4
To Kill a Mockingbird,Harper Lee,Audiobook,2006,Classic Fiction,9780061808128,10,"A profound and moving story about racial injustice in the Deep South, told through the eyes of young Scout Finch.",10
1984,George Orwell,Paperback,1949,Dystopian Fiction,9780451524935,5,A chilling dystopian novel that explores the dangers of totalitarianism and extreme political ideology.,7
1984,George Orwell,eBook,2013,Dystopian Fiction,9780547249643,14,A chilling dystopian novel that explores the dangers of totalitarianism and extreme political ideology.,15
Pride and Prejudice,Jane Austen,Hardcover,1813,Classic Romance,9780141439518,3,"A romantic and satirical exploration of manners, marriage, and morality in Regency-era England.",3
Pride and Prejudice,Jane Austen,eBook,2012,Classic Romance,9781619491063,20,"A romantic and satirical exploration of manners, marriage, and morality in Regency-era England.",20
The Great Gatsby,F. Scott Fitzgerald,Paperback,1925,Classic Fiction,9780743273565,6,"A tragic tale of ambition, love, and the American Dream during the Roaring Twenties.",6
The Great Gatsby,F. Scott Fitzgerald,Audiobook,2005,Classic Fiction,9780743598247,5,"A tragic tale of ambition, love, and the American Dream during the Roaring Twenties.",5
The Catcher in the Rye,J.D. Salinger,Paperback,1951,Classic Fiction,9780316769488,2,A poignant and rebellious story about teenage alienation and the struggles of growing up.,2
Moby-Dick,Herman Melville,Hardcover,1851,Adventure Fiction,9780142437247,5,"A thrilling sea adventure and a profound exploration of obsession, revenge, and humanity.",5
Moby-Dick,Herman Melville,eBook,2009,Adventure Fiction,9781593080181,8,"A thrilling sea adventure and a profound exploration of obsession, revenge, and humanity.",8
The Hobbit,J.R.R. Tolkien,Paperback,1937,Fantasy,9780547928227,8,A whimsical adventure tale about a hobbit's journey to reclaim a treasure guarded by a dragon.,8
The Hobbit,J.R.R. Tolkien,Audiobook,2001,Fantasy,9780618346240,3,A whimsical adventure tale about a hobbit's journey to reclaim a treasure guarded by a dragon.,3
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Hardcover,1997,Fantasy,9780590353427,12,The magical beginning of Harry Potter's journey as he discovers his wizarding heritage.,12
Harry Potter and the Sorcerer's Stone,J.K. Rowling,eBook,2015,Fantasy,9781781102459,30,The magical beginning of Harry Potter's journey as he discovers his wizarding heritage.,30
Brave New World,Aldous Huxley,Paperback,1932,Dystopian Fiction,9780060850524,4,A thought-provoking dystopian novel that questions the cost of technological progress and social stability.,4
Brave New World,Aldous Huxley,Audiobook,2007,Dystopian Fiction,9780060850524,7,A thought-provoking dystopian novel that questions the cost of technological progress and social stability.,7
War and Peace,Leo Tolstoy,Hardcover,1869,Historical Fiction,9780199232765,1,An epic historical novel that intertwines personal and political stories during the Napoleonic Wars.,1
War and Peace,Leo Tolstoy,eBook,2009,Historical Fiction,9780553213835,12,An epic historical novel that intertwines personal and political stories during the Napoleonic Wars.,12
